col0 Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
"" x1475y1390z1395 nht 35.0 23 54 12648 92.0 0.012 0.00019 0.0051 36.0 2.2 7.2e-08 1.6 15.0 2.1 4.7 1.6 390.0 17.0 58.0 0.033 1.2e-08 0.0012 190.0 6.2 27.0 38.0 2.5 4.8 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 0 22 937 52.0 1.5 11.0 4.1 37.0 2.4 3.9e-07 0.71 15.0 1.9 12.0 0.71 140.0 41.0 44.0 2.9e-06 8.7e-09 1.7e-07 55.0 14.0 15.0 31.0 13.0 14.0 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 1 36 1667 21.0 2.4e-07 1.5e-08 9e-08 9.0 3.4 6.9e-10 0.92 2.3 2.2 6.4 0.92 57.0 12.0 14.0 3.9e-08 5.1e-11 1.7e-09 15.0 2.4 3.0 28.0 7.6 8.4 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 3 33 15656 86.0 2.1 9.8 5.9 80.0 2.6 0.0058 1.7 0.00053 2.2 80.0 1.7 620.0 40.0 81.0 0.054 0.0012 0.0063 5.1 0.00012 0.28 610.0 40.0 80.0 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 4 49 3055 14.0 1.2e-38 0.0 0.0 4.4 1.8 1.2e-11 2.0 0.99 1.8 1.9 2.0 33.0 0.99 2.6 8.8e-08 4.8e-15 1.9e-09 14.0 0.025 0.69 5.0 0.46 0.97 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 5 29 997 36.0 1.8 2.9 15.0 25.0 2.7 2.5e-07 0.71 31.0 1.3 9.3 0.71 31.0 9.4 13.0 8.4e-09 7.8e-11 1.5e-09 9.8 2.3 3.9 12.0 4.9 5.4 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 6 19 2050 60.0 1.4 33.0 2.7 64.0 2.2 1.5e-08 1.5 19.0 1.9 24.0 1.5 280.0 42.0 76.0 5.9e-05 5.1e-08 7.3e-06 99.0 16.0 25.0 99.0 13.0 27.0 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 7 57 2552 22.0 0.31 9.9 3.1 9.9 3.1 9.6e-10 3.0 2.7 3.1 4.6 3.0 19.0 2.3 3.3 1.1e-08 1.4e-13 2.1e-10 7.5 0.35 0.75 8.0 1.2 1.5 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 8 89 10849 25.0 2.9e-07 1.8e-08 1.3e-07 16.0 1.9 2.6e-10 1.6 6.5 1.7 6.0 1.6 180.0 5.9 22.0 1.6e-05 5.4e-11 7.8e-07 84.0 1.8 9.2 10.0 2.5 3.2 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 9 34 4902 25.0 2.7 0.76 10.0 25.0 2.8 1e-12 0.95 0.00026 2.1 25.0 0.95 59.0 2.9 10.0 1.4e-08 6.8e-14 4.8e-10 0.12 1.7e-20 0.006 58.0 2.4e-07 8.9 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 10 17 1092 56.0 1.5 20.0 1.2 73.0 1.5 2.7e-09 1.2 17.0 1.3 32.0 1.2 110.0 2.6 14.0 2e-07 1.3e-13 1.4e-08 36.0 0.077 3.5 40.0 2.0 6.2 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 11 22 1383 37.0 0.093 21.0 2.6 21.0 2.6 2.3e-10 1.9 0.88 2.3 20.0 1.9 130.0 11.0 22.0 2.7e-07 8.6e-12 1.7e-08 13.0 0.41 1.4 110.0 9.9 19.0 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 12 45 3965 67.0 1.1 22.0 2.6 35.0 2.2 3.6e-07 0.69 8.2 1.8 20.0 0.69 520.0 50.0 78.0 0.0018 1.7e-08 4.5e-05 160.0 13.0 22.0 200.0 20.0 34.0 True True False False True "> 35" True
